,Unnamed: 0,name,coin,supply,mcap,price,set,new-mcap,var,prop-newmcap,prop-mcap,potential
12,12,Polygon,MATIC,8482124683,6860373921,0.8088037,1.0,8482124683.0,123.64,0.8252319360861177,0.6674506523640475,1.2363939482472694
29,29,Algorand,ALGO,6898656731,1982289266,0.2873442,1.0,6898656731.0,348.01,0.6711752141449461,0.19285833090174925,3.480146806512886
36,36,Decentraland,MANA,1852413497,1437298968,0.7759061,1.0,1852413497.0,128.88,0.18022262507236547,0.13983583764978463,1.2888157471632198
37,37,The Sandbox,SAND,1473270110,1418585458,0.9628821,1.0,1473270110.0,103.85,0.14333549560876072,0.1380151869678608,1.0385487485954927
38,38,Chiliz,CHZ,6000386953,1335164667,0.2225131,1.0,6000386953.0,449.41,0.583781909315052,0.12989911894958012,4.494117424996551
49,49,Pax Dollar,USDP,945642940,944148877,0.9984201,1.0,945642940.0,100.16,0.09200227341463244,0.09185691496398435,1.0015824000338134
54,54,IOTA,MIOTA,2779530283,780010027,0.2806266,1.0,2779530283.0,356.35,0.2704224758034112,0.07588772964371608,3.5634540702841426
58,58,Klaytn,KLAY,3012634799,719403411,0.2387954,1.0,3012634799.0,418.77,0.2931013797618308,0.0699912689183099,4.187685357423133
59,59,The Graph,GRT,6900000000,716198928,0.1037969,1.0,6900000000.0,963.42,0.6713059017402104,0.06967950249078436,9.63419909457797
61,61,Fantom,FTM,2545006273,702518248,0.2760379,1.0,2545006273.0,362.27,0.24760546826532712,0.06834849941486852,3.6226909420771567
62,62,Neutrino USD,USDN,685526865,672508799,0.9810101,1.0,685526865.0,101.94,0.06669539569216877,0.06542885880303202,1.0193574969309693
70,70,Nexo,NEXO,560000011,521178482,0.9306758,1.0,560000011.0,107.45,0.05448279889259171,0.05070582475747885,1.0744880225745634
71,71,Basic Attention Token,BAT,1498344316,509157954,0.3398137,1.0,1498344316.0,294.28,0.14577498292314475,0.04953633904901023,2.9427889458253156
74,74,Stacks,STX,1330942822,485505343,0.364783,1.0,1330942822.0,274.14,0.12948837265034355,0.04723515972207321,2.7413558197613375
76,76,Loopring,LRC,1330119710,476225596,0.3580321,1.0,1330119710.0,279.3,0.12940829149912714,0.04633232654413756,2.79304565149326
77,77,Enjin Coin,ENJ,896399956,459894378,0.513046,1.0,896399956.0,194.91,0.08721138851919782,0.04474345074326713,1.9491429618396792
78,78,Mina,MINA,650518250,427281534,0.6568325,1.0,650518250.0,152.25,0.06328938266879908,0.04157052398243629,1.5224581609466643
79,79,Fei USD,FEI,424996178,419835892,0.987858,1.0,424996178.0,101.23,0.04134818007368594,0.04084613218289357,1.0122912402389816
81,81,STEPN,GMT,600000000,415748657,0.6929144,1.0,600000000.0,144.32,0.05837442623827917,0.04044848218618355,1.4431797058915212
83,83,Trust Wallet Token,TWT,416649900,407816587,0.9787992,1.0,416649900.0,102.17,0.04053616475789399,0.03967676546096377,1.0216600095300445
88,88,1inch Network,1INCH,581011047,382849816,0.6589372,1.0,581011047.0,151.76,0.05652697751121142,0.03724773057405126,1.5175953034674625
90,90,Celo,CELO,456611349,374454009,0.8200716,1.0,456611349.0,121.94,0.04442404251960275,0.036430896546664045,1.2194057201834572
103,103,Gemini Dollar,GUSD,317897107,313882438,0.9873712,1.0,317897107.0,101.28,0.030928435373223068,0.030537845374203725,1.0127903264749873
108,108,BORA,BORA,927500000,269285590,0.2903349,1.0,927500000.0,344.43,0.09023713389333989,0.02619898635081081,3.4442982913869464
114,114,0x,ZRX,847496055,250906376,0.2960561,1.0,847496055.0,337.77,0.08245349324971682,0.0244108595642099,3.377738205698177
117,117,Flux,FLUX,258221026,246539084,0.9547599,1.0,258221026.0,104.74,0.025122507059016277,0.023985962623018185,1.0473837453793358
119,119,ICON,ICX,919483096,246077033,0.2676254,1.0,919483096.0,373.66,0.08945716360799427,0.023941009352988485,3.7365661106905397
123,123,Golem,GLM,1000000000,241379099,0.2413791,1.0,1000000000.0,414.29,0.09729071039713195,0.023483944016729645,4.142860753064371
124,124,Audius,AUDIO,818441374,236156750,0.2885445,1.0,818441374.0,346.57,0.07962674269486476,0.02297585797257789,3.4656699399919253
125,125,Hive,HIVE,434628723,232202178,0.5342541,1.0,434628723.0,187.18,0.04228533721966828,0.022591114853381285,1.8717685086553386
126,126,Storj,STORJ,409514778,223507680,0.5457866,1.0,409514778.0,183.22,0.039841983669743786,0.02174522096641484,1.8322179401253162
127,127,Celsius,CEL,238863520,222915617,0.9332342,1.0,238863520.0,107.15,0.023239201548759535,0.021687618736544984,1.0715423845375576
128,128,Ontology,ONT,875249524,211319239,0.2414389,1.0,875249524.0,414.18,0.08515364796471159,0.02055939888289131,4.14183464222211
130,130,Serum,SRM,263244669,203975877,0.7748528,1.0,263244669.0,129.06,0.02561126085526786,0.01984495797720801,1.2905677052467255
133,133,Moonbeam,GLMR,361035888,197859232,0.548032,1.0,361035888.0,182.47,0.035125438022379364,0.019249865239910943,1.82471096578302
136,136,ABBC Coin,ABBC,1009272150,187989948,0.1862629,1.0,1009272150.0,536.88,0.09819280445754071,0.018289675588439896,5.368755667392701
137,137,Immutable X,IMX,235284001,187213376,0.7956911,1.0,235284001.0,125.68,0.022890947602369507,0.018214122346885374,1.2567691155525054
141,141,SXP,SXP,495541322,180816019,0.3648859,1.0,495541322.0,274.06,0.04821156724851391,0.01759171893969131,2.7405827410705648
143,143,Polymath,POLY,924998413,174168860,0.188291,1.0,924998413.0,531.09,0.08999375271698966,0.016945012118458617,5.31092829715706
144,144,WOO Network,WOO,1145936933,173366827,0.1512883,1.0,1145936933.0,660.99,0.1114890182818806,0.016866981758126676,6.609896469191604
145,145,SwissBorg,CHSB,1000000000,170776075,0.1707761,1.0,1000000000.0,585.56,0.09729071039713195,0.01661492565558389,5.855620312209965
152,152,Voyager Token,VGX,278482214,150686041,0.5410975,1.0,278482214.0,184.81,0.027093732433026128,0.014660351975821353,1.8480957683227144
153,153,PlayDapp,PLA,423447002,146019629,0.3448357,1.0,423447002.0,289.99,0.04119745964011575,0.014206353437335652,2.8999317646055784
154,154,Civic,CVC,1000000000,142716240,0.1427162,1.0,1000000000.0,700.69,0.09729071039713195,0.013884964374807579,7.006913020385913
155,155,CEEK VR,CEEK,803717779,141382092,0.1759101,1.0,803717779.0,568.47,0.0781942736777151,0.013755164168112666,5.684721911931151
158,158,Ellipsis,EPS,723701572,134908234,0.1864142,1.0,723701572.0,536.44,0.07040944005540113,0.01312531792428251,5.364398205716088
159,159,Keep Network,KEEP,855798667,134700537,0.1573975,1.0,855798667.0,635.33,0.08326126026934856,0.013105110935605156,6.353341063231627
160,160,Pundi X (New),PUNDIX,258491637,134476319,0.5202347,1.0,258491637.0,192.22,0.025148834995447556,0.013083296607101332,1.9222093412838472
164,164,Render Token,RNDR,253798860,130399048,0.5137889,1.0,253798860.0,194.63,0.024692271387382236,0.012686616015029708,1.946324648119101
168,168,Ren,REN,999037500,119316626,0.1194316,1.0,999037500.0,837.3,0.09719706808837471,0.011608399305728904,8.372993412128784
170,170,Nano,XNO,133248297,118138894,0.8866072,1.0,133248297.0,112.79,0.012963821474338026,0.01149381692279147,1.127895194173925
174,174,Ontology Gas,ONG,316887697,112626968,0.355416,1.0,316887697.0,281.36,0.0308302291572411,0.010957557726595048,2.8136043397033337
175,175,NuCypher,NU,703000000,112355376,0.1598227,1.0,703000000.0,625.69,0.06839536940918377,0.01093113434797687,6.256933464395233
177,177,Request,REQ,999830316,110205901,0.1102246,1.0,999830316.0,907.24,0.09727420172022892,0.010722010398245996,9.072384930405734
180,180,Function X,FX,408520357,105840083,0.2590815,1.0,408520357.0,385.98,0.03974523574421995,0.01029725686356141,3.8597892941024345
181,181,Ardor,ARDR,998999495,104288442,0.1043929,1.0,998999495.0,957.92,0.09719337055492608,0.010146296608390093,9.57919552000184
182,182,Ultra,UOS,303793578,104215850,0.3430482,1.0,303793578.0,291.5,0.029556293017706518,0.010139234081140945,2.9150422593676337
184,184,Tribe,TRIBE,453448622,103411506,0.2280556,1.0,453448622.0,438.49,0.044116338562980556,0.010060978881977274,4.384895613175033
185,185,Powerledger,POWR,485339140,100994622,0.2080908,1.0,485339140.0,480.56,0.04721898971413308,0.009825838520669811,4.805594480870851
186,186,MX TOKEN,MX,100000000,99994491,0.9999449,1.0,100000000.0,100.01,0.009729071039713195,0.009728535065189618,1.0000551030361773
194,194,Ocean Protocol,OCEAN,613099141,94852749,0.1547103,1.0,613099141.0,646.37,0.05964885097176137,0.009228291333330847,6.4636937553608265
196,196,Chromia,CHR,567369439,94468697,0.166503,1.0,567369439.0,600.59,0.05519977577793222,0.009190926641421408,6.005897791631382
203,203,yOUcash,YOUC,8617397990,4406245088,0.5113197,1.0,8617397990.0,195.57,0.8383927722219169,0.42868671479539316,1.955723591326522
207,207,Frax,FRAX,1448771031,1448367686,0.9997216,1.0,1448771031.0,100.03,0.14095196280877528,0.14091272108719016,1.000278477528144
209,209,BitDAO,BIT,2060868173,1142635125,0.5544436,1.0,2060868173.0,180.36,0.20050332858600944,0.11116778303596567,1.8036099614099612
213,213,DeFiChain,DFI,510738161,458633532,0.8979817,1.0,510738161.0,111.36,0.04969007851061475,0.04462078214022575,1.113608439904733
215,215,GensoKishi Metaverse,MV,1709312901,329409201,0.1927144,1.0,1709312901.0,518.9,0.16630026642927248,0.03204845517664163,5.189025833046207
231,231,HUSD,HUSD,160663906,160423503,0.9985037,1.0,160663906.0,100.15,0.01563110554991803,0.015607716571266429,1.0014985422687968
237,237,Humanscape,HUM,831409623,132531710,0.159406,1.0,831409623.0,627.33,0.08088843285268166,0.012894104216046677,6.2732895875939425
240,240,STASIS EURO,EURS,124125940,123090426,0.9916576,1.0,124125940.0,100.84,0.012076300881311777,0.011975554988625601,1.008412581116708
242,242,MaidSafeCoin,MAID,452552412,117179441,0.2589301,1.0,452552412.0,386.2,0.04402914565541554,0.01140047105882881,3.8620461661274605
243,243,LooksRare,LOOKS,469539052,114121373,0.2430498,1.0,469539052.0,411.44,0.04568178792827588,0.011102949450666075,4.114383142878538
244,244,PlatonCoin,PLTC,114099391,113105619,0.9912903,1.0,114099391.0,100.88,0.011100810806270123,0.011004126022417345,1.0087862253872555
245,245,Centrifuge,CFG,302266191,113017088,0.3738992,1.0,302266191.0,267.45,0.02940769245142517,0.010995512778535178,2.6745176240013353
248,248,USDX [Kava],USDX,111567264,106992243,0.9589932,1.0,111567264.0,104.28,0.010854458371624366,0.01040935132845257,1.0427602614909053
250,250,Stargate Finance,STG,133272369,103295616,0.7750715,1.0,133272369.0,129.02,0.012966163456318706,0.010049703861549351,1.290203548962902
253,253,Orbit Chain,ORC,614793591,98289979,0.1598748,1.0,614793591.0,625.49,0.059813705215993794,0.00956270188182918,6.254894454910968
257,257,AVINOC,AVINOC,389244472,94747629,0.2434142,1.0,389244472.0,410.82,0.03786987119903654,0.009218064133853902,4.1082237601586105
258,258,Acala Token,ACA,487394605,92731081,0.1902587,1.0,487394605.0,525.6,0.04741896736417952,0.009021872746383986,5.256001433837191
259,259,Bancor,BNT,205394087,92471805,0.4502165,1.0,205394087.0,222.12,0.019982936635600326,0.008996647600155058,2.2211536005455152
261,261,Syscoin,SYS,658679537,91838818,0.1394287,1.0,658679537.0,717.21,0.06408340007878396,0.00893506384525291,7.172124533901558
263,263,Steem,STEEM,394951699,87583913,0.2217585,1.0,394951699.0,450.94,0.03842513136826423,0.008521101115130601,4.509410011341166
264,264,Biconomy,BICO,172200411,87010967,0.505289,1.0,172200411.0,197.91,0.016753500316868095,0.008465358791771406,1.9790654457152244
266,266,Raydium,RAY,131138551,85506499,0.6520318,1.0,131138551.0,153.37,0.012758562787240519,0.008318988031281654,1.5336675297125077
