,name,coin,supply,mcap,price
0,Bitcoin,BTC,19133556,386397924400,20194.77845
1,Ethereum,ETH,122131426,183395206574,1501.62176
2,Tether,USDT,67549664915,67554553738,1.00007
3,USD Coin,USDC,52212562312,52220337195,1.00015
4,BNB,BNB,161337261,45732354376,283.45811
5,Binance USD,BUSD,19294808592,19295162059,1.00002
6,XRP,XRP,49537223666,16658999780,0.33629
7,Cardano,ADA,33739028516,15113787024,0.44796
8,Solana,SOL,349381481,11147088718,31.90521
9,Dogecoin,DOGE,132670764300,8470778746,0.06385
10,Polkadot,DOT,1110841261,7813190727,7.03358
11,Dai,DAI,6945922251,6946728796,1.00012
12,Polygon,MATIC,8482124683,6860373921,0.8088
13,Shiba Inu,SHIB,549063278876302,6751681525,1e-05
14,Avalanche,AVAX,285037138,5869956684,20.59366
15,TRON,TRX,92389417771,5775747809,0.06252
16,Wrapped Bitcoin,WBTC,247761,5002514687,20190.88834
17,UNUS SED LEO,LEO,953954130,4889997723,5.12603
18,Uniswap,UNI,745580813,4564306673,6.12181
19,Ethereum Classic,ETC,136554384,4563837430,33.42139
20,Litecoin,LTC,71036019,3753588719,52.84064
21,FTX Token,FTT,134330778,3490415529,25.98374
22,Chainlink,LINK,491599970,3233182178,6.57686
23,Cosmos,ATOM,286370297,3149488275,10.99796
24,Cronos,CRO,25263013692,3061335356,0.12118
25,NEAR Protocol,NEAR,770904787,3035337407,3.93737
26,Stellar,XLM,25277522066,2656080976,0.10508
27,Monero,XMR,18166453,2620997546,144.27679
28,Bitcoin Cash,BCH,19156869,2231900047,116.50652
29,Algorand,ALGO,6898656731,1982289266,0.28734
30,Flow,FLOW,1036200000,1962909211,1.89433
31,VeChain,VET,72511146418,1785793420,0.02463
32,Filecoin,FIL,270064884,1564582541,5.79336
33,Internet Computer,ICP,255839758,1557137581,6.08638
34,EOS,EOS,999008864,1497732381,1.49922
35,ApeCoin,APE,306875000,1468612412,4.7857
36,Decentraland,MANA,1852413497,1437298968,0.77591
37,The Sandbox,SAND,1473270110,1418585458,0.96288
38,Chiliz,CHZ,6000386953,1335164667,0.22251
39,Tezos,XTZ,906774336,1333439437,1.47053
40,Hedera,HBAR,21084776584,1332441495,0.06319
41,Elrond,EGLD,23057896,1220212606,52.91951
42,Quant,QNT,12072738,1200093420,99.40524
43,Aave,AAVE,13994787,1155843399,82.591
44,Theta Network,THETA,1000000000,1133433361,1.13343
45,Axie Infinity,AXS,83008439,1128918048,13.60004
46,TrueUSD,TUSD,1096377229,1096889958,1.00047
47,Bitcoin SV,BSV,19153258,1003165274,52.3757
48,OKB,OKB,60000000,965767889,16.09613
49,Pax Dollar,USDP,945642940,944148877,0.99842
50,Zcash,ZEC,15133006,930610967,61.49545
51,KuCoin Token,KCS,98379861,906329816,9.21255
52,BitTorrent-New,BTT,937418500000000,815574944,0.0
53,Huobi Token,HT,153357694,782733151,5.10397
54,IOTA,MIOTA,2779530283,780010027,0.28063
55,Maker,MKR,977631,757727485,775.06491
56,Helium,HNT,124838712,753522245,6.03597
57,USDD,USDD,741075891,741237451,1.00022
58,Klaytn,KLAY,3012634799,719403411,0.2388
59,The Graph,GRT,6900000000,716198928,0.1038
60,eCash,XEC,19153473423303,710560936,4e-05
61,Fantom,FTM,2545006273,702518248,0.27604
62,Neutrino USD,USDN,685526865,672508799,0.98101
63,Synthetix,SNX,234503573,648101202,2.76372
64,THORChain,RUNE,330688061,647419835,1.9578
65,Neo,NEO,70538831,646552289,9.16591
66,PAX Gold,PAXG,340090,588356925,1730.0036
67,Curve DAO Token,CRV,527144100,554449998,1.0518
